Размер массива,Выбором. Случайные 0-5,Выбором. Случайные 0-4000,Выбором. Почти отсортированный,Выбором. Обратный порядок,Пузырек. Случайные 0-5,Пузырек. Случайные 0-4000,Пузырек. Почти отсортированный,Пузырек. Обратный порядок,Пузырек + Айверсон 1. Случайные 0-5,Пузырек + Айверсон 1. Случайные 0-4000,Пузырек + Айверсон 1. Почти отсортированный,Пузырек + Айверсон 1. Обратный порядок,Пузырек + Айверсон 1 + 2. Случайные 0-5,Пузырек + Айверсон 1 + 2. Случайные 0-4000,Пузырек + Айверсон 1 + 2. Почти отсортированный,Пузырек + Айверсон 1 + 2. Обратный порядок,Простыми вставками. Случайные 0-5,Простыми вставками. Случайные 0-4000,Простыми вставками. Почти отсортированный,Простыми вставками. Обратный порядок,Бинарными вставками. Случайные 0-5,Бинарными вставками. Случайные 0-4000,Бинарными вставками. Почти отсортированный,Бинарными вставками. Обратный порядок,Подсчетом. Случайные 0-5,Подсчетом. Случайные 0-4000,Подсчетом. Почти отсортированный,Подсчетом. Обратный порядок,Цифровая. Случайные 0-5,Цифровая. Случайные 0-4000,Цифровая. Почти отсортированный,Цифровая. Обратный порядок,Слиянием. Случайные 0-5,Слиянием. Случайные 0-4000,Слиянием. Почти отсортированный,Слиянием. Обратный порядок,Быстрая + Хоара. Случайные 0-5,Быстрая + Хоара. Случайные 0-4000,Быстрая + Хоара. Почти отсортированный,Быстрая + Хоара. Обратный порядок,Быстрая + Ломуто. Случайные 0-5,Быстрая + Ломуто. Случайные 0-4000,Быстрая + Ломуто. Почти отсортированный,Быстрая + Ломуто. Обратный порядок,Пирамидальная. Случайные 0-5,Пирамидальная. Случайные 0-4000,Пирамидальная. Почти отсортированный,Пирамидальная. Обратный порядок
190,499,596,373,631,661,1078,1095,2733,687,2710,688,7210,602,2462,1451,763,131,335,134,408,1364,350,266,282,15,285,128,231,66,337,173,165,106,186,157,101,89,100,113,33,222,135,672,766,411,281,249,145
200,501,817,445,767,705,1510,1380,2580,730,1942,814,8935,638,2062,1568,885,142,384,169,518,1427,291,153,308,13,1045,131,209,57,328,160,217,152,205,196,102,119,95,107,47,279,181,169,979,401,431,307,200
210,567,668,447,946,759,1668,1286,2629,801,2102,823,10540,767,2558,1566,1525,154,410,182,466,1542,323,164,328,13,254,166,207,62,472,1261,167,195,253,199,185,88,113,171,43,263,138,391,1004,495,198,333,181
220,683,666,632,973,816,1615,2078,2925,833,2497,1559,12262,769,2533,1604,1531,163,433,184,557,1550,329,204,468,18,253,113,204,62,199,188,174,216,202,395,146,91,116,127,51,315,192,255,979,252,187,342,167
230,610,624,551,1144,891,1727,1760,3480,1141,3568,1159,12573,866,1871,1881,1726,166,516,188,615,1604,490,280,528,13,255,128,198,78,256,203,207,218,187,460,99,86,113,212,50,298,179,321,2081,211,197,382,210
240,826,591,517,969,983,1807,1890,4259,1234,2837,1155,9839,978,2662,2164,2979,181,538,239,593,1417,430,412,593,17,330,123,229,70,289,1285,300,252,246,407,89,57,148,148,50,350,191,491,1878,242,211,378,186
250,1027,657,596,1004,1218,2557,2199,5269,1323,3696,1565,8050,1059,2377,2450,3217,248,543,243,630,1208,743,316,612,20,269,260,200,75,391,214,373,230,433,328,95,72,106,150,51,360,137,696,2905,290,215,396,191
260,1933,663,745,1007,1781,2212,3364,6244,2346,3624,1220,9309,1090,4090,2018,3185,210,285,240,701,1261,819,317,630,23,251,147,220,85,327,1324,214,224,205,214,103,99,150,195,69,398,173,713,2360,567,258,481,286
270,980,763,1314,1042,3510,2181,3008,6150,3057,5805,1321,9035,1162,4279,2220,3304,224,305,256,678,763,701,361,550,41,504,158,198,83,315,273,229,294,351,205,101,80,143,393,57,358,193,677,2527,225,246,401,372
280,1951,815,1278,2337,2437,2369,2802,6240,3222,4932,1435,9385,2047,2899,2499,3049,263,323,273,641,1086,670,291,777,31,279,193,194,104,428,264,282,189,245,246,115,77,127,192,489,412,237,813,3215,255,237,627,357
290,1723,798,881,1231,1691,3056,2681,7396,2178,8304,1518,10237,2451,4080,2673,4202,273,601,289,703,999,700,528,698,45,314,87,212,68,290,1396,481,210,235,255,128,77,162,231,72,404,185,460,3613,242,247,447,407
300,1876,891,851,1340,2313,3574,1979,9740,2378,5481,2085,11408,1295,2995,3019,3087,331,927,671,777,2072,568,626,960,41,248,82,246,73,370,1380,316,188,349,305,120,76,133,366,79,441,241,499,3131,336,276,496,379
